Titre Français,Titre Anglais,Année,Pochette,Disque Français,Disque Anglais,Résumé
Pluie Noire,Black Rain,1989,Picture 193,L,L,"Nick Conklin est un policier aguerri, rebelle et solitaire. Dans un restaurant fréquenté par la pègre new-yorkaise, Nick et son coéquiper, Charlie Vincent, remarquent un vieux japonais menant une conversation animée avec des mafiosi. Soudain, un yakuza fait irruption dans la salle et égorge le vieil homme. Nick et Charlie se lancent à sa poursuite et parviennent à le capturer. L'assassin, Sato, est aussitôt extradé à la demande de l'ambassade japonaise et c'est à contrecœur que Nick et Charlie acceptent de l'escorter jusqu'à Osaka. À peine l'avion atterri, Sato parvient à s'échapper grâce à des complices déguisés en policiers japonais. Ayant déjà été plusieurs fois accusé de corruption, Nick est accusé d'avoir laissé Sato s'enfuir. Les deux officiers décident alors de le retrouver pour se blanchir. Ils vont découvrir le Japon et se mettre de nombreux yakuzas à dos..."
Black Sails,Black Sails,2014,Picture 2678,B,B,"20 ans avant les évènements de ""L'île au trésor"" de Robert Louis Stevenson, les aventures du légendaire capitaine Flint et de ses hommes."
Black Sea,Black Sea,2014,Picture 24300,S,S,"Récemment renvoyé par sa société, un capitaine de sous-marin est embauché pour trouver un trésor gisant au fond de la mer Noire. Il décide alors de former une équipe pour pouvoir le retrouver mais la quête de ce trésor risque de ne pas se passer comme prévu."
La Nuit des Moutons,Black Sheep,2006,Picture 2071,R,R,"Henry, citadin phobique des moutons, décide de suivre les conseils de sa thérapeute en retournant à la ferme familiale pour vendre ses parts à son frère aîné, sans se douter des expériences génétiques qui y sont menées sur les moutons.
Au même moment, des activistes écologiques, au courant de ces pratiques, libèrent un agneau mutant du laboratoire secret. Le fléau va très vite se répandre et transformer tous les moutons en prédateurs très très méchants. "
Le Gémissement du Serpent Noir,Black Snake Moan,2006,Picture 21539,N,N,"Lazarus ne vit que pour une chose : le Blues. Quelques années plus tôt, il en jouait toutes les nuits dans un bar du Tennessee. Mais le temps a passé, Lazarus s'est marié, a divorcé, et vit maintenant avec pour seule compagne une colère aussi désespérée qu'auto-destructrice. Mais un matin, il découvre sur le bord d'une route une jeune fille à moitié nue et couverte d'ecchymoses. C'est Rae, une nymphomane dont la plupart des hommes du coin ont profité. Lazarus va alors tenter de ramener Rae dans le droit chemin."
Le Masque du Démon,Black Sunday,1960,Picture 1134,Y,Y,"Dans la Moldavie du XVIIe siècle, la princesse Asa Vajda, soupçonnée de sorcellerie, est condamnée par l'Inquisition et meurt en maudissant sa propre famille, responsable de son sort. Au XIXe siècle, les docteurs Kruvajan et Gorobec, en route pour un congrès médical, découvrent en chemin le cercueil d'Asa et la réveillent par inadvertance. Celle-ci entreprend alors méthodiquement de se venger... "
Dimanche Noir,Black Sunday,1977,Picture 1054,Y,Y,"Un vétéran de la guerre de Vietnam devenu fou prévoit de tuer des milliers d'innocents pendant le Super Bowl, la finale de football américain. Un agent de la brigade anti-terroriste tente de l'en empêcher. "
Le Cygne Noir,Black Swan,2010,Picture 21540,M,M,"Rivalités dans la troupe du New York City Ballet. Nina est prête à tout pour obtenir le rôle principal du Lac des cygnes que dirige l’ambigu Thomas. Mais elle se trouve bientôt confrontée à la belle et sensuelle nouvelle recrue, Lily... "
En Eaux Troubles,Black Water,2007,Picture 511,L,L,"En ballade dans le nord de l'Australie, région tropicale sujette aux inondations, Grace, son petit ami Adam et sa jeune soeur Lee décident de partir pêcher en compagnie d'un guide local. Alors que leur bateau file tranquillement sur la rivière, ils sont attaqués par un crocodile. Le guide est tué et les trois vacanciers se retrouvent bloqués sur un arbre parmi les Mangroves inondées. Pour survivre, ils devront éviter le crocodile mangeur d'hommes et atteindre le bateau qui s'est retourné. "
Menace en Mer,Black Water,2018,Picture 2374,A,A,"Quand l’agent spécial Scott Wheeler se réveille, il est blessé et menotté à une chaise. Impossible pour lui de se rappeler qui sont ses geôliers ni comment il a atterri dans cette pièce. Après avoir subi un premier interrogatoire musclé, Wheeler a maintenant la certitude qu’il ne quittera jamais cet endroit vivant. Alors qu’il échafaude un plan d’évasion pour sauver sa peau, Marco, son compagnon de cellule, lui apprend qu’ils sont détenus dans un site secret et lourdement protégé : un sous-marin nucléaire en immersion à 1 500 mètres de profondeur"
En Eaux Troubles 2,Black Water 2 - Abyss,2020,Picture 4131,C,C,"Un groupe d'amis explore des grottes isolées au plus profond des forêts du nord de l'Australie lorsqu'une tempête tropicale éclate. Les eaux montent et les emprisonnent sous la surface. Bientôt, des crocodiles tueurs émergent de l'obscurité... "
La Veuve Noire,Black Widow,1987,Picture 21541,N,N,"Sam Petersen, industriel new-yorkais, meurt d'un arret respiratoire, leguant sa fortune a son epouse, Catharine. Quelques semaines plus tard, c'est au tour d'un riche fabriquant de jouets, qui laisse a sa jolie femme Marielle une coquette fortune. A Seattle, une jeune anthropologue, Margaret Dodd, fait une entree remarquee au conseil d'administration du museum et seduit le directeur. Cependant Alexandra Barnes, agent federal, decouvre de troublantes similitudes dans la mort des deux industriels et s'apercoit que Catharine, Marielle et Margaret ne font qu'une. "
Le Fantôme de Barbe-Noire,Blackbeard's Ghost,1968,Picture 21542,O,O,"Steve Walker, entraîneur d'athlétisme fraîchement débarqué dans une petite ville côtière, achète une vieille bassinoire lors d'une vente aux enchères. En y découvrant un parchemin marqué d'une formule magique qu'il récite par jeu, il invoque le fantôme du célèbre pirate Barbe-Noire."
Blackbird,Blackbird,2019,Picture 4754,D,D,"Lily et son mari Paul décident de réunir enfants et petits-enfants pour un week-end dans leur maison de campagne. Trois générations d’une même famille se retrouvent, avec Jennifer, l’aînée, son mari Michael et leur fils de 15 ans, Jonathan, mais aussi Anna, la cadette, venue avec Chris, sa compagne. En fait, cette réunion de famille a un but bien particulier : atteinte d'une maladie dégénérative incurable, Lily refuse de subir une fin de vie avilissante et décide de prendre son destin en main. Mais tout le monde n’accepte pas cette décision. Non-dits et secrets remontent à la surface, mettant à l’épreuve et redessinant tous les liens qui unissent les membres de cette famille, alors que le temps des adieux approche… "
Chapeau Noir,Blackhat,2015,Picture 24630,T,T,"À Hong Kong, la centrale nucléaire de Chai Wan a été hackée. Un logiciel malveillant, sous la forme d’un outil d’administration à distance ou RAT (Remote Access Tool), a ouvert la porte à un autre malware plus puissant qui a détruit le système de refroidissement de la centrale, provoquant la fissure d’un caisson de confinement et la fusion de son coeur. Aucune tentative d’extorsion de fonds ou de revendication politique n’a été faite. Ce qui a motivé cet acte criminel reste un mystère. 
Un groupe de hauts gradés de l’APL (Armée populaire de libération chinoise) charge le capitaine Dawai Chen, spécialiste de la défense contre les cyberattaques, de retrouver et de neutraliser l’auteur de ce crime. 
À Chicago, le Mercantile Trade Exchange (CME) est hacké, provoquant l’inflation soudaine des prix du soja. 
Carol Barrett, une agente chevronnée du FBI, encourage ses supérieurs à associer leurs efforts à ceux de la Chine. Mais le capitaine Chen est loin de l’idée qu’elle s’en était faite. Formé au MIT, avec une parfaite maîtrise de l’anglais, l’officier chinois insiste pour que ses homologues américains libèrent sur le champ un célèbre hacker détenu en prison : Nicholas Hathaway."
Opération Infiltration,BlacKkKlansman,2018,Picture 2670,B,B,"Au début des années 70, au plus fort de la lutte pour les droits civiques, plusieurs émeutes raciales éclatent dans les grandes villes des États-Unis. Ron Stallworth devient le premier officier Noir américain du Colorado Springs Police Department, mais son arrivée est accueillie avec scepticisme, voire avec une franche hostilité, par les agents les moins gradés du commissariat. Prenant son courage à deux mains, Stallworth va tenter de faire bouger les lignes et, peut-être, de laisser une trace dans l'histoire. Il se fixe alors une mission des plus périlleuses : infiltrer le Ku Klux Klan pour en dénoncer les exactions."
Blackthorn,Blackthorn,2011,Picture 24729,U,U,"En 1927, Butch Cassidy, âgé d'une soixantaine d'années, se cache en Bolivie sous le nom de James Blackthorn. Contrairement à la légende, il n’est pas mort dans la fusillade de 1908 à San Vicente et a refait sa vie comme éleveur de chevaux. Apprenant la mort d'Etta Place, complice de ses années de banditisme aux côtés du Sundance Kid, il décide de rentrer aux États-Unis à la recherche de son fils ou neveu qu'il n'a jamais connu, Ryan, vivant à San Francisco. De retour d'une vente de ses chevaux et d'un passage à la banque où il retiré tout son argent pour payer ses employés et quitter le pays, il rencontre un voleur, Eduardo et perd tous ses économies, après que celui-ci ait fait fuir son cheval. Les deux hommes vont être traqués à travers le pays par des cavaliers à la recherche de cinquante mille dollars qu'Eduardo a volés."
Viens avec moi,Blackway,2015,Picture 3447,C,C,"Une jeune femme revient dans sa ville natale du Nord-Ouest Pacifique, mais se retrouve harcelée par un ancien policier devenu un truand renommé. Il se fait appeler ""Blackway"". "
Blade 1,Blade 1,1998,Picture 194,J,J,"Mi-homme mi-vampire, possédant toutes les qualités des goules et aucune de leur faiblesse, capable de vivre en plein jour, Blade traque sans pitié les suceurs de sang. Aidé de Whistler, son mentor et armurier, il est le cauchemar de la Nation Secrète des Vampires, dont les membres infiltrent toutes les couches de la société. L'un d'eux, Deacon Frost, avide de pouvoir, souhaite asservir le monde et la race humaine en invoquant le Dieu du sang. Un seul homme peut se mettre en travers de son chemin : Blade... "
Blade 2,Blade 2,2002,Picture 195,L,L,"Blade, un être mi-homme mi-vampire, s'est juré d'exterminer jusqu'au dernier ces créatures assoiffées de sang qui ont tué sa mère et l'ont contaminé. Epaulé par Whistler, son mentor, il est bientôt rejoint par Scud, un informaticien fidèle à sa cause depuis que Blade l'a sauvé des crocs des vampires. Face à eux, un groupe de vampires d'élite connu sous le nom de Bloodpack. Dirigée par la jeune Nyssa, une experte en arts martiaux, cette équipe s'entraîne dans un seul but : tuer Blade.
Mais les priorités changent. Une nouvelle menace vient de faire son apparition sous les traits de Jared Nomak. Ce dernier est l'hôte d'un virus hautement contagieux et mortel pour l'homme et les vampires. Les deux races vont devoir unir leurs forces pour éliminer Jarek et les Reapers, une nouvelle espèce de créatures qu'il a engendrée. "
Blade 3 - La Trinité,Blade 3 - Trinity,2004,Picture 196,J,J,"A l'aide d'une manipulation d'image aussi géniale que machiavélique, les vampires ont réussi à piéger Blade : sur un document vidéo, on le découvre en train de massacrer... un humain. Pour le FBI, Blade devient l'ennemi à capturer.
Pourchassé par les hommes et condamné par les vampires, Blade va devoir se battre sur tous les fronts. Les vampires, qui multiplient les alliances secrètes avec des humains renégats, sont sur le point d'utiliser son propre ADN pour ressusciter celui qui, il y a bien longtemps, fut le premier et le plus puissant d'entre eux.
Entre course contre la montre et les pièges qui se multiplient, l'affrontement est total. Cette fois, Blade aussi va devoir montrer les crocs... "
Blade of the Immortal,Blade of the Immortal,2017,Picture 1783,Z,,"Basé sur le Manga du même nom publié pour la première fois en 1993, le film évoque l'histoire d'un guerrier samouraï immortel, qui ne peut lever sa malédiction que d'une seule manière : tuer 1000 hommes... "
Blade Runner,Blade Runner,1982,Picture 198,J,J,"Dans les dernières années du 20ème siècle, des milliers d'hommes et de femmes partent à la conquête de l'espace, fuyant les mégalopoles devenues insalubres. Sur les colonies, une nouvelle race d'esclaves voit le jour : les répliquants, des androïdes que rien ne peut distinguer de l'être humain. Los Angeles, 2019. Après avoir massacré un équipage et pris le contrôle d'un vaisseau, les répliquants de type Nexus 6, le modèle le plus perfectionné, sont désormais déclarés ""hors la loi"". Quatre d'entre eux parviennent cependant à s'échapper et à s'introduire dans Los Angeles. Un agent d'une unité spéciale, un blade-runner, est chargé de les éliminer. Selon la terminologie officielle, on ne parle pas d'exécution, mais de retrait... "
